,location,country_code,latitude,longitude,confirmed,dead,recovered,velocity_confirmed,velocity_dead,velocity_recovered,updated
0,Deventer,nl,52.2660751,6.1552165,0,0.0,,0,0,0,2020-12-13 18:03:44.697940+00:00
1,'s-Gravenhage,nl,52.0704978,4.3006999,0,0.0,,0,0,0,2020-12-13 18:03:44.697940+00:00
2,Pilõezinhos,br,-6.843131,-35.53057750000001,87,0.0,,5,0,0,2020-06-13 00:20:20.628942+00:00
3,Pavussu,br,-7.964324700000001,-43.2243453,2,1.0,,0,0,0,2020-06-13 00:20:19.650852+00:00
4,"Dunn County, North Dakota",us,47.2121625,-102.72602,343,7.0,,2,1,0,2020-12-17 17:45:41.346197+00:00
5,Foz do Jordão,br,-25.6934949,-52.0851258,19,0.0,,0,0,0,2020-06-13 00:19:58.969475+00:00
6,Lagoa Seca,br,-7.1549934,-35.8537249,196,3.0,,3,0,0,2020-06-13 00:20:08.643082+00:00
7,"Todd County, Kentucky",us,36.8338638,-87.14228949999999,567,14.0,,5,0,0,2020-12-17 17:45:41.346197+00:00
8,Uitgeest,nl,52.5312254,4.7120459,0,0.0,,0,0,0,2020-12-13 18:03:44.697940+00:00
9,Catende,br,-8.6679698,-35.7218229,195,12.0,,6,0,0,2020-06-13 00:19:51.029872+00:00
10,Gilbués,br,-9.8289362,-45.3382228,6,0.0,,0,0,0,2020-06-13 00:19:59.580540+00:00
11,Itacajá,br,-8.3933415,-47.7730378,0,0.0,,0,0,0,2020-06-13 00:20:03.678386+00:00
12,Princesa Isabel,br,-7.7350218,-37.9946455,19,0.0,,1,0,0,2020-06-13 00:20:24.182273+00:00
13,Taiyuan,cn,37.87059,112.548879,21,0.0,21.0,0,0,0,2020-12-18 17:54:48.508171+00:00
14,Suhl,de,50.6076846,10.6881255,456,11.0,,0,0,0,2020-12-17 00:00:00+00:00
15,Itapiratins,br,-8.3802211,-48.1076175,28,0.0,,0,0,0,2020-06-13 00:20:04.577950+00:00
16,Southeastern Province,cn,-2.2179704,115.66283,10,0.0,10.0,0,0,0,2020-12-18 17:54:48.508171+00:00
17,Abadia de Goiás,br,-16.763784,-49.4377043,14,0.0,,0,0,0,2020-06-13 00:19:39.999296+00:00
18,Itatiaia,br,-22.4912365,-44.5721272,12,0.0,,0,0,0,2020-06-13 00:20:04.919003+00:00
19,"Coamo County, Puerto Rico",us,18.0799616,-66.35794729999999,357,0.0,0.0,5,0,0,2020-12-17 17:48:16.112082+00:00
20,Santa Luzia do Pará,br,-1.5220326,-46.901112,95,4.0,,0,0,0,2020-06-13 00:20:27.966916+00:00
21,"Madison County, Indiana",us,40.1469349,-85.684578,7646,165.0,,150,1,0,2020-12-17 17:45:41.346197+00:00
22,"Sierra County, California",us,39.5532845,-120.2512728,32,0.0,,0,0,0,2020-12-18 17:45:39.083225+00:00
23,Aporá,br,-11.658109,-38.0715385,18,1.0,,2,0,0,2020-06-13 00:19:42.313110+00:00
24,Guapimirim,br,-22.535199,-42.9899491,457,28.0,,0,0,0,2020-06-13 00:20:00.387784+00:00
25,Zamfara,ng,12.1221805,6.2235819,79,5.0,73.0,0,0,0,2020-12-18 17:48:46.153412+00:00
26,Capim Grosso,br,-11.3801768,-40.0068953,32,3.0,,3,0,0,2020-06-13 00:19:49.805095+00:00
27,Tenente Ananias,br,-6.4574435,-38.1807707,13,2.0,,0,0,0,2020-06-13 00:20:36.253015+00:00
28,"Russell County, Virginia",us,36.9904385,-82.08429009999999,1242,13.0,0.0,21,1,0,2020-12-17 17:48:16.112082+00:00
29,"Ferry County, Washington",us,48.4718375,-118.4974069,149,1.0,0.0,0,0,0,2020-12-17 17:48:16.112082+00:00
30,Serra do Ramalho,br,-13.5413338,-43.5774778,3,0.0,,0,0,0,2020-06-13 00:20:30.440253+00:00
31,Juruá,br,-3.5811865,-66.4271499,72,0.0,,0,0,0,2020-06-13 00:20:08.138112+00:00
32,"Trinity County, Texas",us,31.0687648,-95.1432068,314,9.0,0.0,13,0,0,2020-12-17 17:48:16.112082+00:00
33,Itariri,br,-24.2895753,-47.174264,62,3.0,,0,0,0,2020-06-13 00:20:04.893570+00:00
34,Itaguaçu,br,-12.5429456,-55.72153669999999,18,0.0,,0,0,0,2020-06-13 00:20:03.847579+00:00
35,Brejo de Areia,br,-4.3349476,-45.5826417,19,0.0,,0,0,0,2020-06-13 00:19:46.899481+00:00
36,Nova Alvorada do Sul,br,-21.452822,-54.3784034,1,0.0,,0,0,0,2020-06-13 00:20:15.783983+00:00
37,"Sanders County, Montana",us,47.61094629999999,-115.1316944,371,3.0,,11,0,0,2020-12-17 17:45:41.346197+00:00
38,Angélica,br,-22.0685311,-53.8671868,3,0.0,,2,0,0,2020-06-13 00:19:41.956942+00:00
39,Casserengue,br,-6.780635299999999,-35.8177357,46,0.0,,5,0,0,2020-06-13 00:19:50.852200+00:00
40,Béchar,dz,31.6182492,-2.2143231,348,348.0,3.0,0,0,0,2020-12-18 17:48:45.666502+00:00
41,Galicia,es,42.5750554,-8.1338558,9056,607.0,9204.0,0,0,0,2020-05-22 14:18:25.542712+00:00
42,Icapuí,br,-4.7158559,-37.3547456,145,5.0,,0,0,0,2020-06-13 00:20:01.748567+00:00
43,Romelândia,br,-26.6785154,-53.3191758,6,0.0,,0,0,0,2020-06-13 00:20:26.511717+00:00
44,Penápolis,br,-21.42162,-50.08259049999999,22,4.0,,0,0,0,2020-06-13 00:20:20.257606+00:00
45,Cordeirópolis,br,-22.4818598,-47.4593897,69,2.0,,0,0,0,2020-06-13 00:19:53.398162+00:00
46,Ponta Porã,br,-22.523123,-55.7242526,47,1.0,,-2,1,0,2020-06-13 00:20:21.943752+00:00
47,Goianorte,br,-8.7747722,-48.9354688,4,0.0,,0,0,0,2020-06-13 00:19:59.715845+00:00
48,"Grainger County, Tennessee",us,36.3059333,-83.54965659999999,1476,21.0,0.0,27,0,0,2020-12-17 17:48:16.112082+00:00
49,"Bristol, City of",gb,51.454513,-2.58791,681,,,0,0,0,2020-05-14 15:01:09+00:00
50,Bromley,gb,51.406025,0.013156,1213,,,0,0,0,2020-05-14 15:01:09+00:00
51,"Minnehaha County, South Dakota",us,43.6631787,-96.83509989999999,23618,237.0,0.0,163,0,0,2020-12-17 17:48:16.112082+00:00
52,"Pike County, Ohio",us,39.0713471,-83.03613759999999,1215,5.0,,18,0,0,2020-12-17 17:45:41.346197+00:00
53,Gameleira de Goiás,br,-16.4855094,-48.6454678,4,0.0,,0,0,0,2020-06-13 00:19:59.326333+00:00
54,Santa Helena,br,-2.2324841,-45.3016641,2,0.0,,0,0,0,2020-06-13 00:20:27.782879+00:00
55,Amorinópolis,br,-16.6278743,-51.0914103,2,0.0,,0,0,0,2020-06-13 00:19:41.566349+00:00
56,Santa Brígida,br,-9.7362638,-38.1283783,4,0.0,,0,0,0,2020-06-13 00:20:27.286645+00:00
57,Santana dos Garrotes,br,-7.3851571,-37.9869429,2,0.0,,0,0,0,2020-06-13 00:20:28.820995+00:00
58,Caiuá,br,-21.8322944,-51.9898256,3,0.0,,0,0,0,2020-06-13 00:19:48.261861+00:00
59,Amaralina,br,-13.9240574,-49.2966837,4,0.0,,0,0,0,2020-06-13 00:19:41.482253+00:00
60,Santa Rosa de Viterbo,br,-21.4909206,-47.37045,4,0.0,,3,0,0,2020-06-13 00:20:28.382335+00:00
61,Ulanchab,cn,40.994785,113.132585,3,0.0,3.0,0,0,0,2020-12-18 17:54:48.508171+00:00
62,Casinhas,br,-7.741251900000001,-35.7209567,7,2.0,,0,0,0,2020-06-13 00:19:50.841516+00:00
63,Campo Limpo de Goiás,br,-16.2965919,-49.0934616,2,0.0,,0,0,0,2020-06-13 00:19:49.072218+00:00
64,Apuarema,br,-13.8554594,-39.7443601,1,0.0,,0,0,0,2020-06-13 00:19:42.334096+00:00
65,Corguinho,br,-19.827792,-54.8314399,1,0.0,,0,0,0,2020-06-13 00:19:53.473355+00:00
66,Tocantinópolis,br,-6.3248673,-47.4228183,187,3.0,,0,0,0,2020-06-13 00:20:36.801290+00:00
67,Palmeira do Piauí,br,-8.7258357,-44.2371758,1,0.0,,0,0,0,2020-06-13 00:20:18.146693+00:00
68,"New Haven County, Connecticut",us,41.3266911,-72.8042797,41146,1421.0,,607,12,0,2020-12-17 17:45:41.346197+00:00
69,Diamante,br,-7.426503400000001,-38.264777,2,0.0,,0,0,0,2020-06-13 00:19:56.202369+00:00
70,Itacaré,br,-14.2801421,-38.9946495,46,2.0,,0,0,0,2020-06-13 00:20:03.700870+00:00
71,Ponta de Pedras,br,-7.633229800000001,-34.8134283,195,6.0,,0,0,0,2020-06-13 00:20:21.956867+00:00
72,Regeneração,br,-6.344344,-42.4724578,5,0.0,,0,0,0,2020-06-13 00:20:25.259033+00:00
73,Cruzaltense,br,-27.668275,-52.6495906,7,0.0,,0,0,0,2020-06-13 00:19:54.603439+00:00
74,Piranguinho,br,-22.4029088,-45.5339578,11,0.0,,0,0,0,2020-06-13 00:20:21.149697+00:00
75,Carvalhópolis,br,-21.7783171,-45.84170959999999,1,0.0,,0,0,0,2020-06-13 00:19:50.731428+00:00
76,Serrana,br,-21.2076994,-47.60484140000001,45,7.0,,1,1,0,2020-06-13 00:20:30.486589+00:00
77,Redenção,br,-8.0257338,-50.0322512,315,2.0,,0,0,0,2020-06-13 00:20:25.248983+00:00
78,São Romão,br,-16.3647886,-45.0746603,5,1.0,,0,0,0,2020-06-13 00:20:35.012564+00:00
79,Santa Maria da Serra,br,-22.5696545,-48.1567345,25,0.0,,2,0,0,2020-06-13 00:20:28.081731+00:00
80,Damolândia,br,-16.2548219,-49.36354600000001,1,0.0,,0,0,0,2020-06-13 00:19:55.636631+00:00
81,Várzea Grande,br,-15.646248,-56.1327131,1,0.0,,0,0,0,2020-06-13 00:20:39.945086+00:00
82,Americano do Brasil,br,-16.2518975,-49.9835817,0,0.0,,0,0,0,2020-05-23 00:18:50.247418+00:00
83,Serrano do Maranhão,br,-1.8526475,-45.1211331,16,0.0,,0,0,0,2020-06-13 00:20:30.537659+00:00
84,Arantina,br,-21.9106617,-44.2559403,3,0.0,,0,0,0,2020-06-13 00:19:42.662609+00:00
85,Joaquim Pires,br,-3.5412868,-42.1177396,8,0.0,,0,0,0,2020-06-13 00:20:07.242739+00:00
86,Belo Oriente,br,-19.2580383,-42.4331624,23,1.0,,0,0,0,2020-06-13 00:19:45.133997+00:00
87,Unaí,br,-16.3596235,-46.9024959,235,0.0,,0,0,0,2020-06-13 00:20:38.380732+00:00
88,"Onslow County, North Carolina",us,34.6540094,-77.4701972,7383,54.0,,64,0,0,2020-12-17 17:45:41.346197+00:00
89,"Emmet County, Iowa",us,43.34943,-94.6863782,900,23.0,,6,0,0,2020-12-17 17:45:41.346197+00:00
90,Potim,br,-22.8401139,-45.2554893,5,0.0,,0,0,0,2020-06-13 00:20:23.165337+00:00
91,Ribeirão Branco,br,-24.2210685,-48.7640116,20,0.0,,0,0,0,2020-06-13 00:20:25.689388+00:00
92,Pontal,br,-21.0273,-48.0353,42,4.0,,8,0,0,2020-06-13 00:20:22.005438+00:00
93,Corumbaíba,br,-18.1395882,-48.5605834,3,1.0,,0,0,0,2020-06-13 00:19:53.883416+00:00
94,Carmo,br,-21.9314728,-42.6076037,29,2.0,,0,0,0,2020-06-13 00:19:50.540851+00:00
95,Cruz Alta,br,-28.6454883,-53.605355,44,1.0,,1,0,0,2020-06-13 00:19:54.535514+00:00
96,Marcelino Ramos,br,-27.4653827,-51.9080083,9,0.0,,0,0,0,2020-06-13 00:20:11.749488+00:00
97,Buckinghamshire,gb,51.8072204,-0.8127664,906,,,0,0,0,2020-05-14 15:01:09+00:00
98,Alto Paraíso,br,-14.1366085,-47.51886289999999,27,2.0,,0,0,0,2020-06-13 00:19:41.207215+00:00
99,Cheshire West and Chester,gb,53.2302974,-2.7151117,957,,,0,0,0,2020-05-14 15:01:09+00:00
100,Hartlepool,gb,54.691745,-1.212926,281,,,0,0,0,2020-05-14 15:01:09+00:00
101,Havering,gb,51.577924,0.2120829,681,,,0,0,0,2020-05-14 15:01:09+00:00
102,Chiapetta,br,-27.9235009,-53.94239400000001,7,0.0,,0,0,0,2020-06-13 00:19:51.771944+00:00
103,North Lincolnshire,gb,53.60555919999999,-0.5596582,453,,,0,0,0,2020-05-14 15:01:09+00:00
104,Ilhabela,br,-23.8158392,-45.3664809,60,2.0,,1,0,0,2020-06-13 00:20:02.297906+00:00
105,Manicoré,br,-6.511245499999999,-60.9540073,93,2.0,,0,0,0,2020-06-13 00:20:11.229034+00:00
106,Morada Nova,br,-5.0977503,-38.37050139999999,723,8.0,,2,1,0,2020-06-13 00:20:14.395337+00:00
107,Paulicéia,br,-21.3157294,-51.8325787,2,0.0,,0,0,0,2020-06-13 00:20:19.499687+00:00
108,"Campbell County, Virginia",us,37.221014,-79.1096901,1637,17.0,0.0,34,0,0,2020-12-17 17:48:16.112082+00:00
109,Piraúba,br,-21.2714221,-43.0389191,4,0.0,,0,0,0,2020-06-13 00:20:21.377631+00:00
110,Riqueza,br,-27.0701054,-53.3258041,6,0.0,,0,0,0,2020-06-13 00:20:26.409041+00:00
111,"Lake County, Colorado",us,39.1941167,-106.2992912,383,0.0,,5,0,0,2020-12-17 17:45:41.346197+00:00
112,Santa Maria de Itabira,br,-19.4517591,-43.1141927,8,0.0,,0,0,0,2020-06-13 00:20:28.113346+00:00
113,Ubarana,br,-21.1659804,-49.7172901,1,0.0,,0,0,0,2020-06-13 00:20:38.037233+00:00
114,"Kalawao County, Hawaii",us,21.2273942,-156.9749731,1,0.0,,0,0,0,2020-12-17 17:45:41.346197+00:00
115,Itaquara,br,-13.4537425,-39.8784831,1,0.0,,0,0,0,2020-06-13 00:20:04.789646+00:00
116,Presidente Epitácio,br,-21.7668273,-52.1096821,15,2.0,,0,0,0,2020-06-13 00:20:23.845804+00:00
117,Shijingshan district,cn,39.906611,116.222981,15,0.0,9.0,0,0,0,2020-12-18 17:54:48.508171+00:00
118,Cumaru do Norte,br,-7.8114157,-50.767642,59,2.0,,0,0,0,2020-06-13 00:19:54.911732+00:00
119,Parnaguá,br,-10.2243813,-44.637345,1,0.0,,0,0,0,2020-06-13 00:20:18.998576+00:00
120,Santa Ernestina,br,-21.4597249,-48.3903258,3,0.0,,0,0,0,2020-06-13 00:20:27.623823+00:00
121,"Charles City County, Virginia",us,37.4018216,-77.1485163,162,7.0,,0,0,0,2020-12-18 17:45:39.083225+00:00
122,Espírito Santo,br,-19.1834229,-40.3088626,9,0.0,,0,0,0,2020-06-13 00:19:57.582289+00:00
123,Benue,ng,7.3369024,8.7403687,493,11.0,460.0,0,0,0,2020-12-18 17:48:46.047710+00:00
124,Japi,br,-6.4667273,-35.9455463,4,0.0,,0,0,0,2020-06-13 00:20:06.384072+00:00
125,Fernandes Pinheiro,br,-25.4112295,-50.5460865,1,1.0,,0,0,0,2020-06-13 00:19:58.086189+00:00
126,"Ware County, Georgia",us,31.134411,-82.4752757,2899,81.0,,41,0,0,2020-12-17 17:45:41.346197+00:00
127,Bayanur.,cn,40.743213,107.387657,8,1.0,7.0,0,0,0,2020-12-18 17:54:48.508171+00:00
128,Pedro Laurentino,br,-8.0665509,-42.2858241,4,0.0,,0,0,0,2020-06-13 00:20:19.946490+00:00
129,"Bradford County, Florida",us,29.97238179999999,-82.1713632,1674,22.0,,26,0,0,2020-12-17 17:45:41.346197+00:00
130,Manaus,br,-3.1190275,-60.0217314,22504,1560.0,,0,0,0,2020-06-13 00:20:11.077894+00:00
131,Winterswijk,nl,51.977038,6.7454136,0,0.0,,0,0,0,2020-12-13 18:03:44.697940+00:00
132,"Cocke County, Tennessee",us,35.9359517,-83.12200740000002,2276,34.0,0.0,48,1,0,2020-12-17 17:48:16.112082+00:00
133,Ponte Nova,br,-20.4171273,-42.9027576,19,0.0,,0,0,0,2020-06-13 00:20:22.076217+00:00
134,"Unassigned County, Indiana",us,40.2671941,-86.1349019,193,193.0,0.0,0,0,0,2020-07-06 05:31:48.055316+00:00
135,Mato Leitão,br,-29.5290271,-52.12823299999999,9,0.0,,0,0,0,2020-06-13 00:20:12.659687+00:00
136,Maribondo,br,-9.5773909,-36.3058392,46,1.0,,2,0,0,2020-06-13 00:20:12.039756+00:00
137,Chenzhou,cn,25.770509,113.014717,39,0.0,39.0,0,0,0,2020-12-18 17:54:48.508171+00:00
138,Serra Redonda,br,-7.185634499999999,-35.6803639,77,0.0,,4,0,0,2020-06-13 00:20:30.348300+00:00
139,"Cumberland County, Maine",us,43.81329789999999,-70.3870587,5433,82.0,,152,1,0,2020-12-17 17:45:41.346197+00:00
140,Ribeira,br,-24.6048562,-49.0817124,1,0.0,,0,0,0,2020-06-13 00:20:25.658814+00:00
141,"Middlesex County, Connecticut",us,41.46985050000001,-72.4731529,5263,226.0,,110,2,0,2020-12-17 17:45:41.346197+00:00
142,"Wibaux County, Montana",us,46.7836649,-104.3183897,108,4.0,,1,0,0,2020-12-17 17:45:41.346197+00:00
143,Salinas,br,-16.1679216,-42.29393899999999,1,1.0,,0,1,0,2020-06-13 00:20:26.982057+00:00
144,"Door County, Wisconsin",us,44.8341302,-87.3770488,1986,14.0,0.0,27,1,0,2020-12-17 17:48:16.112082+00:00
145,Salvaterra,br,-0.7595761999999999,-48.5232815,206,9.0,,0,0,0,2020-06-13 00:20:27.169917+00:00
146,"Carter County, Montana",us,45.4522431,-104.3707837,134,4.0,,2,0,0,2020-12-17 17:45:41.346197+00:00
147,"Anasco County, Puerto Rico",us,18.2854476,-67.1402935,391,0.0,0.0,11,0,0,2020-12-17 17:48:16.112082+00:00
148,"McLean County, Illinois",us,40.5478429,-88.86469799999999,10470,88.0,,109,14,0,2020-12-17 17:45:41.346197+00:00
149,"Day County, South Dakota",us,45.4167482,-97.70237159999999,494,15.0,0.0,2,0,0,2020-12-17 17:48:16.112082+00:00
150,Serra Talhada,br,-7.982190699999999,-38.2893787,221,5.0,,20,0,0,2020-06-13 00:20:30.363600+00:00
151,"Naranjito County, Puerto Rico",us,18.3007861,-66.2448904,748,0.0,0.0,7,0,0,2020-12-17 17:48:16.112082+00:00
152,Médéa,dz,36.2853847,2.7680247,826,826.0,19.0,0,0,0,2020-12-18 17:48:45.313941+00:00
153,Cambuí,br,-22.6118831,-46.05770709999999,41,0.0,,0,0,0,2020-06-13 00:19:48.677493+00:00
154,"Marion County, Tennessee",us,35.0928512,-85.64348700000001,1590,22.0,0.0,31,0,0,2020-12-17 17:48:16.112082+00:00
155,"LaPorte County, Indiana",us,41.4775131,-86.8220341,6448,120.0,,121,1,0,2020-12-17 17:45:41.346197+00:00
156,Porto do Mangue,br,-5.0682266,-36.77994140000001,22,1.0,,0,0,0,2020-06-13 00:20:23.077433+00:00
157,Condeúba,br,-14.9006135,-41.968944,10,0.0,,-1,0,0,2020-06-13 00:19:53.022165+00:00
158,Padre Marcos,br,-7.351416800000001,-40.90003160000001,2,0.0,,0,0,0,2020-06-13 00:20:17.917474+00:00
159,Capela,br,-10.5102117,-37.0530033,51,1.0,,1,0,0,2020-06-13 00:19:49.765363+00:00
160,Bouira,dz,36.37763,3.8962348,1394,1394.0,13.0,0,0,0,2020-12-18 17:48:44.988888+00:00
161,Ervália,br,-20.8375238,-42.6563191,7,0.0,,0,0,0,2020-06-13 00:19:57.404707+00:00
162,Gameleira,br,-8.5853481,-35.3871125,84,9.0,,4,1,0,2020-06-13 00:19:59.336329+00:00
163,Guaraqueçaba,br,-25.2445091,-48.3190276,1,1.0,,0,0,0,2020-06-13 00:20:00.649088+00:00
164,Jucati,br,-8.7068084,-36.4892171,14,0.0,,2,0,0,2020-06-13 00:20:07.754118+00:00
165,"Atoka County, Oklahoma",us,34.4509901,-95.9832577,1095,2.0,,15,0,0,2020-12-17 17:45:41.346197+00:00
166,Gonzaga,br,-23.9702282,-46.33668309999999,1,0.0,,0,0,0,2020-06-13 00:19:59.845027+00:00
167,Porto Franco,br,-6.340382099999999,-47.3961372,111,3.0,,16,0,0,2020-06-13 00:20:22.837322+00:00
168,Jaú do Tocantins,br,-12.6513395,-48.5894239,0,0.0,,0,0,0,2020-06-11 22:48:41.278554+00:00
169,"Phillips County, Arkansas",us,34.4611206,-90.86751339999999,1113,18.0,,24,0,0,2020-12-17 17:45:41.346197+00:00
170,Castanhal,br,-1.2962162,-47.9190546,1185,128.0,,0,0,0,2020-06-13 00:19:50.863061+00:00
171,Catuji,br,-17.3022348,-41.51675040000001,8,0.0,,0,0,0,2020-06-13 00:19:51.081105+00:00
172,"Lawrence County, Tennessee",us,35.2761735,-87.460397,3778,51.0,0.0,57,3,0,2020-12-17 17:48:16.112082+00:00
173,"Garvin County, Oklahoma",us,34.7289063,-97.35165579999999,1928,18.0,,32,0,0,2020-12-17 17:45:41.346197+00:00
174,"Woodward County, Oklahoma",us,36.413792,-99.3673084,2216,8.0,,13,0,0,2020-12-17 17:45:41.346197+00:00
175,São Gabriel da Cachoeira,br,-0.1155659,-67.0883053,2365,28.0,,0,0,0,2020-06-13 00:20:32.507239+00:00
176,Hegang,cn,47.349916,130.297964,5,0.0,5.0,0,0,0,2020-12-18 17:54:48.508171+00:00
177,Aachen,de,50.7753455,6.083886800000001,1,0.0,,0,0,0,2020-12-03 00:00:00+00:00
178,"Imperial County, California",us,33.0113694,-115.4733554,20003,393.0,,247,6,0,2020-12-17 17:45:41.346197+00:00
179,"Castro County, Texas",us,34.4985047,-102.3463875,732,12.0,0.0,19,0,0,2020-12-17 17:48:16.112082+00:00
180,"Rock Island County, Illinois",us,41.39982089999999,-90.563609,10179,211.0,,94,30,0,2020-12-17 17:45:41.346197+00:00
181,Lagoa da Confusão,br,-10.7871029,-49.6191056,24,0.0,,0,0,0,2020-06-13 00:20:08.709339+00:00
182,Mallet,br,-25.8728975,-50.8664451,2,0.0,,0,0,0,2020-06-13 00:20:10.990228+00:00
183,"Pepin County, Wisconsin",us,44.6451183,-92.02731899999999,613,4.0,0.0,6,0,0,2020-12-17 17:48:16.112082+00:00
184,"Grant County, Washington",us,47.1981147,-119.3732456,5240,40.0,0.0,0,0,0,2020-12-17 17:48:16.112082+00:00
185,Formosa do Rio Preto,br,-11.0409838,-45.1899521,7,0.0,,0,0,0,2020-06-13 00:19:58.530096+00:00
186,"Plaquemines County, Louisiana",us,29.3240045,-89.4742177,1504,20.0,,22,0,0,2020-12-17 17:45:41.346197+00:00
187,Careiro,br,-3.8194468,-60.3612359,816,13.0,,0,0,0,2020-06-13 00:19:50.321517+00:00
188,Ernestina,br,-28.4992647,-52.5694862,4,0.0,,-2,0,0,2020-06-13 00:19:57.373634+00:00
189,"Phillips County, Montana",us,48.4519289,-107.8777779,383,10.0,,7,1,0,2020-12-17 17:45:41.346197+00:00
190,"Clinton County, New York",us,44.7904203,-73.6005824,738,5.0,,7,0,0,2020-12-17 17:45:41.346197+00:00
191,Vogelsbergkreis,de,50.59862769999999,9.3079,1233,35.0,,0,0,0,2020-12-17 00:00:00+00:00
192,Goiás,br,-15.8270369,-49.8362237,0,0.0,,0,0,0,2020-06-13 00:19:59.812638+00:00
193,Juarina,br,-8.1199104,-49.0647793,1,0.0,,0,0,0,2020-06-13 00:20:07.653471+00:00
194,"Unassigned County, Connecticut",us,41.6032207,-73.087749,647,0.0,0.0,-66,0,0,2020-12-17 17:48:16.112082+00:00
195,"Florida County, Puerto Rico",us,18.3630091,-66.5581092,275,0.0,0.0,25,0,0,2020-12-17 17:48:16.112082+00:00
196,Candiota,br,-31.5450621,-53.7197806,1,0.0,,0,0,0,2020-06-13 00:19:49.453226+00:00
197,"Vega Alta County, Puerto Rico",us,18.4315524,-66.3365098,915,0.0,0.0,9,0,0,2020-12-17 17:48:16.112082+00:00
198,Senhora dos Remédios,br,-21.0291145,-43.5819523,1,0.0,,0,0,0,2020-06-13 00:20:30.103068+00:00
199,"Portage County, Ohio",us,41.1887572,-81.2518833,6138,89.0,,105,0,0,2020-12-17 17:45:41.346197+00:00
200,El Bayadh,dz,33.65813869999999,1.0203224,232,232.0,6.0,0,0,0,2020-12-18 17:48:45.432532+00:00
201,Ain Temouchent,dz,35.3072501,-1.1424514,714,714.0,5.0,0,0,0,2020-12-18 17:48:45.593375+00:00
202,Gard,fr,43.9446996,4.1513764,1818,305.0,1307.0,0,0,0,2020-12-18 17:53:11.969624+00:00
203,Barra de Santa Rosa,br,-6.7217118,-36.0599473,12,0.0,,0,0,0,2020-06-13 00:19:44.311664+00:00
204,Xiushan County,cn,28.447997,109.007094,1,0.0,1.0,0,0,0,2020-12-18 17:54:48.508171+00:00
205,Bathaʼ,sa,24.6194976,46.72464859999999,41,0.0,11.0,0,0,0,2020-07-01 06:48:19.780801+00:00
206,"Tolland County, Connecticut",us,41.8418987,-72.37846789999999,4124,98.0,,74,0,0,2020-12-17 17:45:41.346197+00:00
207,"Paulding County, Georgia",us,33.9142037,-84.8984775,6824,98.0,,153,7,0,2020-12-17 17:45:41.346197+00:00
208,"Delaware County, Indiana",us,40.2583533,-85.39627689999999,6857,125.0,,113,1,0,2020-12-17 17:45:41.346197+00:00
209,Itaporã do Tocantins,br,-8.5721287,-48.689911,0,0.0,,0,0,0,2020-06-11 22:48:39.214016+00:00
210,Nova Iguaçu,br,-22.7561319,-43.4607419,2443,265.0,,0,0,0,2020-06-13 00:20:16.251652+00:00
211,Timbó,br,-26.7958795,-49.2638678,36,0.0,,0,0,0,2020-06-13 00:20:36.702293+00:00
212,"Cabarrus County, North Carolina",us,35.4168123,-80.5882803,9201,120.0,,133,0,0,2020-12-17 17:45:41.346197+00:00
213,Woensdrecht,nl,51.4292475,4.3047078,0,0.0,,0,0,0,2020-12-13 18:03:44.697940+00:00
214,São Miguel das Matas,br,-13.0438348,-39.45820459999999,2,0.0,,0,0,0,2020-06-13 00:20:34.562810+00:00
215,Américo de Campos,br,-20.2979261,-49.7337479,8,0.0,,1,0,0,2020-06-13 00:19:41.652000+00:00
216,Nazareno,br,-21.2205455,-44.61067389999999,3,0.0,,0,0,0,2020-06-13 00:20:15.308535+00:00
217,Santa Cruz do Piauí,br,-7.1843346,-41.7677209,2,0.0,,0,0,0,2020-06-13 00:20:27.538734+00:00
218,Santo Hipólito,br,-18.4661452,-44.13404389999999,8,0.0,,0,0,0,2020-06-13 00:20:29.354408+00:00
219,Al ʻUyun,sa,24.5125088,39.5862698,302,0.0,198.0,0,0,0,2020-07-01 06:48:19.772425+00:00
220,"Out of AL County, Alabama",us,32.3182314,-86.902298,44,0.0,0.0,0,0,0,2020-09-15 17:47:25.908897+00:00
221,Capinzal,br,-27.3473259,-51.6056325,4,0.0,,0,0,0,2020-06-13 00:19:49.835728+00:00
222,Taiobeiras,br,-15.8142935,-42.227378,20,0.0,,1,0,0,2020-06-13 00:20:35.659261+00:00
223,Ouricuri,br,-7.8808775,-40.0810267,46,2.0,,1,0,0,2020-06-13 00:20:17.643350+00:00
224,Mirante da Serra,br,-11.0289123,-62.67147749999999,31,1.0,,0,0,0,2020-06-13 00:20:13.493201+00:00
225,Saltinho,br,-22.8446528,-47.675824,14,1.0,,0,0,0,2020-06-13 00:20:27.045779+00:00
226,Pedras de Fogo,br,-7.400925300000001,-35.1117491,551,5.0,,64,0,0,2020-06-13 00:20:19.827083+00:00
227,Santa Mariana,br,-23.1490745,-50.51974569999999,15,1.0,,2,0,0,2020-06-13 00:20:28.190746+00:00
228,"Botetourt County, Virginia",us,37.5774613,-79.7848422,1040,14.0,0.0,18,0,0,2020-12-17 17:48:16.112082+00:00
229,Tarauacá,br,-8.1608977,-70.7652128,427,3.0,,0,0,0,2020-06-13 00:20:36.072268+00:00
230,Corupá,br,-26.4355066,-49.2452364,65,0.0,,0,0,0,2020-06-13 00:19:53.949444+00:00
