,location,country_code,latitude,longitude,confirmed,dead,recovered,velocity_confirmed,velocity_dead,velocity_recovered,updated
8622,Paranaguá,br,-25.5148758,-48.52262229999999,96,4.0,,13,0,0,2020-06-13 00:20:18.562371+00:00
8623,Pedro Avelino,br,-5.5195872,-36.3878063,5,0.0,,0,0,0,2020-06-13 00:20:19.910571+00:00
8624,Querência,br,-12.2387614,-52.8741407,56,1.0,,1,0,0,2020-06-13 00:20:24.584014+00:00
8625,Cedral,br,-20.9030584,-49.2695664,8,0.0,,0,0,0,2020-06-13 00:19:51.281201+00:00
8626,Pilões,br,-6.8703667,-35.6177373,7,0.0,,0,0,0,2020-06-13 00:20:20.618257+00:00
8627,São Francisco de Paula,br,-29.442271,-50.5797679,2,0.0,,0,0,0,2020-06-13 00:20:32.256449+00:00
8628,"Jackson County, Minnesota",us,43.598799,-95.1432068,719,4.0,,15,0,0,2020-12-17 17:45:41.346197+00:00
8629,"Carroll County, Virginia",us,36.6778699,-80.7214417,1281,32.0,0.0,14,1,0,2020-12-17 17:48:16.112082+00:00
8630,Monsenhor Tabosa,br,-4.789949600000001,-40.06172249999999,62,3.0,,0,0,0,2020-06-13 00:20:13.878837+00:00
8631,Saïda,dz,34.8412014,0.1484305,72,72.0,0.0,0,0,0,2020-12-18 17:48:45.191348+00:00
8632,"Lauderdale County, Mississippi",us,32.4401578,-88.7108964,4357,159.0,,63,0,0,2020-12-17 17:45:41.346197+00:00
8633,Rio Crespo,br,-9.6681036,-62.7794229,7,0.0,,0,0,0,2020-06-13 00:20:25.980329+00:00
8634,"Nassau County, Florida",us,30.5927334,-81.8224362,3919,64.0,,72,0,0,2020-12-17 17:45:41.346197+00:00
8635,Oise,fr,49.42145679999999,2.4146396,2930,606.0,1998.0,0,0,0,2020-12-18 17:53:12.006850+00:00
8636,Nagasaki,jp,32.7503334,129.8778888,17,1.0,16.0,0,0,0,2020-06-13 00:21:00.696874+00:00
8637,"Blaine County, Oklahoma",us,35.8825489,-98.3964938,551,2.0,,3,0,0,2020-12-17 17:45:41.346197+00:00
8638,Águia Branca,br,-18.9848815,-40.7380397,14,2.0,,0,0,0,2020-06-13 00:20:40.510305+00:00
8639,"Beaver County, Pennsylvania",us,40.6367812,-80.365865,6894,206.0,,301,3,0,2020-12-17 17:45:41.346197+00:00
8640,"Finney County, Kansas",us,38.0625252,-100.8903099,5295,39.0,,29,5,0,2020-12-17 17:45:41.346197+00:00
8641,"Logan County, Kentucky",us,36.869834,-86.86218269999999,1517,37.0,,12,0,0,2020-12-17 17:45:41.346197+00:00
8642,Oder-Spree,de,52.36018869999999,14.0677287,2007,38.0,,0,0,0,2020-12-17 00:00:00+00:00
8643,"Dillon County, South Carolina",us,34.3596012,-79.4253776,1950,54.0,0.0,26,0,0,2020-12-17 17:48:16.112082+00:00
8644,Urumqi,cn,43.825592,87.61684799999999,845,0.0,845.0,0,0,0,2020-12-18 17:54:48.508171+00:00
8645,Yamagata,jp,38.5370564,140.1435198,69,0.0,67.0,0,0,0,2020-06-13 00:21:00.696874+00:00
8646,Fernando de Noronha,br,-3.8447976,-32.4268917,73,0.0,,0,0,0,2020-06-13 00:19:58.128552+00:00
8647,Daegu,kr,35.8714354,128.601445,6944,191.0,6748.0,0,0,0,2020-08-09 01:49:17.833732+00:00
8648,Irkutsk Oblast,ru,56.13214199999999,103.948625,36734,1025.0,32204.0,0,0,0,2020-12-18 17:54:55.077257+00:00
8649,Simões,br,-7.5915027,-40.814097,8,0.0,,0,0,0,2020-06-13 00:20:31.114906+00:00
8650,Santa Clara do Sul,br,-29.4639339,-52.0903264,21,0.0,,0,0,0,2020-06-13 00:20:27.421279+00:00
8651,Oeiras do Pará,br,-2.0050578,-49.8596058,291,17.0,,0,0,0,2020-06-13 00:20:17.174854+00:00
8652,Alfredo Chaves,br,-20.6362063,-40.7500672,98,2.0,,2,0,0,2020-06-13 00:19:40.758730+00:00
8653,"Washington County, Kentucky",us,37.7516142,-85.14793639999999,781,8.0,,6,1,0,2020-12-17 17:45:41.346197+00:00
8654,Poxoréu,br,-15.8414488,-54.38875969999999,3,0.0,,0,0,0,2020-06-13 00:20:23.305786+00:00
8655,Alvinópolis,br,-20.10761,-43.0574762,6,0.0,,0,0,0,2020-06-13 00:19:41.328047+00:00
8656,Santa Fé do Araguaia,br,-7.1545302,-48.6915418,15,0.0,,0,0,0,2020-06-13 00:20:27.677317+00:00
8657,Boa Nova,br,-14.3652117,-40.20764550000001,1,0.0,,0,0,0,2020-06-13 00:19:45.621594+00:00
8658,Trabiju,br,-22.0393514,-48.3343439,1,0.0,,0,0,0,2020-06-13 00:20:36.980190+00:00
8659,São Miguel do Tapuio,br,-5.497682699999999,-41.3168197,2,0.0,,0,0,0,2020-06-13 00:20:34.683662+00:00
8660,"Charles County, Maryland",us,38.5221781,-77.10249019999999,5323,115.0,,33,0,0,2020-12-17 17:45:41.346197+00:00
8661,Swindon,gb,51.55577390000001,-1.7797176,424,,,0,0,0,2020-05-14 15:01:09+00:00
8662,Tameside,gb,53.4805828,-2.0809891,580,,,0,0,0,2020-05-14 15:01:09+00:00
8663,"Keweenaw County, Michigan",us,47.7515686,-88.3249369,83,2.0,,0,0,0,2020-12-18 17:45:39.083225+00:00
8664,"Wilson County, Tennessee",us,36.1626241,-86.2970998,10397,106.0,0.0,193,3,0,2020-12-17 17:48:16.112082+00:00
8665,"Menard County, Texas",us,30.9802428,-99.8124935,146,3.0,0.0,4,0,0,2020-12-17 17:48:16.112082+00:00
8666,Qurayyat,sa,31.3296352,37.3613533,3,0.0,0.0,0,0,0,2020-07-01 06:48:18.690817+00:00
8667,Belterra,br,-3.1295449,-54.97246639999999,24,3.0,,0,0,0,2020-06-13 00:19:45.156586+00:00
8668,São Valério,br,-11.633333,-48.23333299999999,0,0.0,,0,0,0,2020-06-13 00:20:35.352475+00:00
8669,Nova Hartz,br,-29.5822977,-50.905136,2,0.0,,0,0,0,2020-06-13 00:20:16.224150+00:00
8670,"Lewis County, Tennessee",us,35.4962054,-87.5000082,1031,17.0,0.0,14,0,0,2020-12-17 17:48:16.112082+00:00
